Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
nuans search ontario,CA,Canada,English,"NUANS search (Product), Ontario (Location)",true,true,false,true,false,false,People also ask,400,6,3.55,1,85,84,,13,3,10,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-23 12:11:19,2026-04-05 18:49:48
nuans name search,CA,Canada,English,NUANS (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Video preview",1900,12,1.60,0,63,63,,32,3,29,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-28 18:00:21,2026-04-13 01:30:44
nuans report ontario,CA,Canada,English,"NUANS Report (Product), Ontario (Location)",true,true,false,true,true,true,"People also ask, Video preview",450,7,4.09,1,60,58,,20,4,16,,https://www.opstart.ca/nuans-order/,,https://www.opstart.ca/free-nuans/,2024-04-19 06:40:09,2026-03-07 20:42:46
opstart,CA,Canada,English,Opstart (Organization),true,false,false,true,true,false,"Sitelinks, People also ask",30,0,4.16,52,27,-25,,1,1,,,https://www.opstart.ca/,,https://www.opstart.ca/,2024-04-10 15:49:42,2026-04-05 05:43:27
nuans search canada,CA,Canada,English,NUANS search (Product),true,false,false,true,false,false,"Sitelinks, People also ask, Bottom ads",250,12,1.87,1,24,23,,17,4,13,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-25 01:47:53,2026-04-20 18:59:06
nuans name search free,CA,Canada,English,Nuans (Product),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",100,9,0.90,87,23,-65,,1,1,,,https://www.opstart.ca/free-nuans/,AI Overview,https://www.opstart.ca/what-is-nuans-search-canada/,2024-04-20 22:01:32,2026-04-07 04:53:21
nuans name search ontario,CA,Canada,English,Ontario (Location),false,true,false,true,false,false,People also ask,300,9,2.61,1,23,22,,22,6,16,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-15 01:22:57,2026-04-04 14:16:15
free nuans search ontario,CA,Canada,English,"NUANS search (Product), Ontario (Location)",true,true,false,true,false,false,People also ask,50,5,,22,19,-3,,1,1,,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-08 16:18:03,2026-03-29 06:01:28
nuans name search ontario free,CA,Canada,English,"NUANS (Organization), Ontario (Location)",true,true,false,true,false,false,"People also ask, Bottom ads",50,12,1.92,7,18,12,,4,1,3,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-17 00:40:37,2026-04-27 15:25:00
gst hst registry,CA,Canada,English,GST/HST (Event),false,false,false,true,false,false,"People also ask, Video preview, Image pack",500,2,0.95,17,,,,8,,Lost,,https://www.opstart.ca/product/gst-hst-registration/,,,2024-04-11 14:59:39,
free nuans search,CA,Canada,English,NUANS (Product),true,false,false,true,false,false,"Top ads, People also ask, Bottom ads, Paid sitelinks",30,11,1.44,15,15,0,,1,1,,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-09 14:42:18,2026-04-12 19:16:56
nuans search free,CA,Canada,English,Nuans (Product),true,false,false,true,false,false,People also ask,30,5,1.44,17,14,-2,,1,1,,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-23 23:57:22,2026-04-06 07:11:28
nuans preliminary search,CA,Canada,English,NUANS (Organization),true,false,false,true,false,false,,70,6,2.08,24,14,-10,,1,2,-1,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-10 16:10:00,2026-04-01 04:11:26
what is a nuans report,CA,Canada,English,NUANS Report (Product),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",100,4,,6,12,6,,7,5,2,,https://www.opstart.ca/nuans-report-need/,,https://www.opstart.ca/nuans-report-need/,2024-04-18 21:18:10,2026-04-07 10:59:14
nuans ontario,CA,Canada,English,"NUANS (Product), Ontario (Location)",true,true,false,true,true,false,People also ask,90,11,3.43,1,12,11,,17,4,13,,https://www.opstart.ca/nuans-order/,,https://www.opstart.ca/free-nuans/,2024-04-18 20:23:09,2026-04-10 05:16:37
nuans search ontario free,CA,Canada,English,"NUANS search (Product), Ontario (Location)",true,true,false,true,false,false,People also ask,50,5,1.77,19,12,-7,,1,2,-1,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-12 02:07:40,2026-04-03 14:01:38
ontario nuans search,CA,Canada,English,"NUANS (Product), Ontario (Location)",true,true,false,true,false,false,,90,7,3.55,1,12,10,,11,4,7,,https://www.opstart.ca/free-nuans/,,https://www.opstart.ca/free-nuans/,2024-04-09 16:42:40,2026-04-09 14:01:28
free nuans name search ontario,CA,Canada,English,"NUANS (Organization), Ontario (Location)",true,true,false,true,false,false,Video preview,20,7,1.84,10,,,,1,,Lost,,https://www.opstart.ca/free-nuans/,,,2024-02-28 07:32:33,
free nuans name search,CA,Canada,English,NUANS (Product),true,false,false,true,false,false,"People also ask, Video preview, Image pack",20,4,1.44,9,,,,1,,Lost,,https://www.opstart.ca/free-nuans/,,,2024-03-02 20:10:51,
restaurant advertising,CA,Canada,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Discussions and forums, Sitelinks, Bottom ads",150,3,3.79,0,9,9,,85,7,78,,https://www.opstart.ca/top-8-restaurant-advertising-techniques/,,https://www.opstart.ca/top-8-restaurant-advertising-techniques/,2024-04-27 11:16:10,2026-04-17 20:45:15
free nuans search alberta,CA,Canada,English,"NUANS Search (Product), Alberta (Location)",true,true,false,true,false,false,"Video preview, Image pack",20,4,1.63,9,,,,1,,Lost,,https://www.opstart.ca/free-nuans/,,,2024-03-06 04:07:02,
